#,Company,Symbol,Weight,      Price,Chg,% Chg
318,Extra Space Storage Inc,EXR,0.057092,   147.02,-1.08,(-0.73%)
319,Clorox Company,CLX,0.056984,   158.91,-1.34,(-0.84%)
320,Ppl Corp,PPL,0.056403,   26.36,-0.42,(-1.57%)
321,Darden Restaurants Inc,DRI,0.056378,   160.43,-0.14,(-0.09%)
322,Dover Corp,DOV,0.056192,   135.67,-3.65,(-2.62%)
323,Laboratory Crp of Amer Hldgs,LH,0.055744,   215.79,-3.1,(-1.42%)
324,Invitation Homes Inc,INVH,0.055301,   32.99,-0.33,(-0.98%)
325,Fair Isaac Corp,FICO,0.055044,   765.94,5.73,-0.75%
326,Teledyne Technologies Inc,TDY,0.054613,   396.06,-8.62,(-2.13%)
327,Monolithic Power Systems Inc,MPWR,0.054591,   419.58,-4.12,(-0.97%)
328,Xylem Inc,XYL,0.054032,   103.70,-0.44,(-0.42%)
329,Cooper Cos Inc,COO,0.053975,   376.32,-3.72,(-0.98%)
330,Omnicom Group,OMC,0.053945,   90.11,-1.94,(-2.10%)
331,Alexandria Real Estate Equit,ARE,0.05355,   115.71,-2.41,(-2.04%)
332,Hewlett Packard Enterprise,HPE,0.05331,   14.23,-0.15,(-1.02%)
333,Nasdaq Inc,NDAQ,0.052815,   53.90,-0.5,(-0.92%)
334,Las Vegas Sands Corp,LVS,0.052435,   55.96,0.25,-0.46%
335,Expeditors Intl Wash Inc,EXPD,0.052409,   111.47,-3.08,(-2.69%)
336,Centerpoint Energy Inc,CNP,0.052297,   28.63,-0.23,(-0.78%)
337,Ventas Inc,VTR,0.051235,   43.40,-1.1,(-2.48%)
338,Fifth Third Bancorp,FITB,0.051146,   25.38,-0.55,(-2.10%)
339,Broadridge Financial Solutio,BR,0.051097,   150.25,-0.87,(-0.57%)
340,Kellogg Co,K,0.050428,   68.59,0.06,-0.08%
341,Wabtec Corp,WAB,0.050414,   95.19,-1.59,(-1.65%)
342,Southwest Airlines Co,LUV,0.050308,   28.99,-0.49,(-1.67%)
343,Fleetcor Technologies Inc,FLT,0.050148,   236.16,-0.42,(-0.18%)
344,Raymond James Financial Inc,RJF,0.050116,   89.97,-0.36,(-0.39%)
345,Royal Caribbean Cruises Ltd,RCL,0.049456,   77.50,-1.35,(-1.72%)
346,Ball Corp,BALL,0.049287,   53.89,-0.87,(-1.58%)
